Date,Close,Open,High,Low,Volume,Change
2006-06-15,2144.15,2098.37,2147.91,2086.0,1610000000.0,0.0279
2006-06-16,2129.95,2140.51,2144.15,2122.78,1990000000.0,-0.0066
2006-06-19,2110.42,2136.6,2138.77,2104.38,1250000000.0,-0.0092
2006-06-20,2107.06,2110.92,2126.72,2103.77,1250000000.0,-0.0016
2006-06-21,2141.2,2109.22,2152.56,2107.06,1420000000.0,0.016200000000000003
2006-06-22,2122.98,2138.97,2141.2,2113.59,1230000000.0,-0.0085
2006-06-23,2121.47,2120.3,2137.43,2110.81,1210000000.0,-0.0007000000000000001
2006-06-26,2133.67,2126.46,2135.71,2123.71,1070000000.0000001,0.0058
2006-06-27,2100.25,2134.58,2139.43,2098.76,1350000000.0,-0.015700000000000002
2006-06-28,2111.84,2105.94,2112.62,2090.78,1220000000.0,0.0055000000000000005
2006-06-29,2174.38,2121.5,2174.38,2121.5,1570000000.0,0.0296
2006-06-30,2172.09,2181.47,2183.48,2164.67,2380000000.0,-0.0011
2006-07-03,2190.43,2177.91,2190.44,2172.09,586920000.0,0.0084
2006-07-05,2153.34,2174.69,2190.43,2147.12,1160000000.0,-0.0169
2006-07-06,2155.09,2156.3,2168.54,2148.21,1210000000.0,0.0008
2006-07-07,2130.06,2146.89,2155.09,2126.64,1300000000.0,-0.0116
2006-07-10,2116.93,2135.96,2142.36,2109.18,1160000000.0,-0.0062
2006-07-11,2128.86,2110.42,2129.47,2095.69,1490000000.0,0.005600000000000001
2006-07-12,2090.24,2121.71,2128.86,2090.23,1320000000.0,-0.0181
2006-07-13,2054.11,2076.39,2090.24,2054.1,1450000000.0,-0.0173
2006-07-14,2037.35,2053.88,2056.53,2027.11,1260000000.0,-0.008199999999999999
2006-07-17,2037.72,2034.76,2050.65,2028.3,1100000000.0,0.0002
2006-07-18,2043.22,2043.18,2052.53,2012.78,1420000000.0,0.0027
2006-07-19,2080.71,2037.68,2086.07,2037.1,1680000000.0,0.0183
2006-07-20,2039.42,2083.83,2084.24,2038.71,1490000000.0,-0.019799999999999998
2006-07-21,2020.39,2035.26,2035.78,2014.07,1730000000.0,-0.009300000000000001
